ID,question,answers
IA0027,research-a,"Nutrient Cycling, Pyrogenic Organic Matter, Pyrogenic Organic Matter Transport, Fluxes, Biogeochemical Modeling, Water Quality, Water Supply, Contaminant Transport"
IA0028,research-a,"Water Quality, Watershed Management, Water Routing, Hillslope Hydrology, Sediment Transport, Water Supply, Contaminant Transport, Hydrological Modeling"
IA0029,research-a,"Nutrient Cycling, Water Quality, Water Routing, Hillslope Hydrology, Surface Water – Groundwater Interactions, Contaminant Transport"
IA0030,research-a,"Nutrient Cycling, Pyrogenic Organic Matter, Soil Stability, Quality, Mineralogy, Microbial Community Dynamics, Pyrogenic Organic Matter Transport, Fluxes, Pyrogenic Organic Matter Method Development"
IA0031,research-a,"Successional Dynamics, Ecological Resilience, Indigenous Science, Environmental Justice, Air Quality, Health"
IA0032,research-a,"Pyrogenic Organic Matter, Pyrogenic Organic Matter Method Development"
IA0033,research-a,"Nutrient Cycling, Microbial Community Dynamics, Food Web / Trophic Dynamics, Water Quality"
IA0034,research-a,"Nutrient Cycling, Microbial Community Dynamics, Successional Dynamics, Ecological Resilience"
IA0035,research-a,Risk Communication / Health Communication
IA0036,research-a,"Microbial Community Dynamics, Successional Dynamics, Ecological Resilience, Watershed Management, Sediment Transport"
IA0037,research-a,"Nutrient Cycling, Soil Stability, Quality, Mineralogy, Pyrogenic Organic Matter Transport, Fluxes, Biogeochemical Modeling, Successional Dynamics, Ecological Modeling, Water Quality, Watershed Management, Water Routing, Hillslope Hydrology, Sediment Transport, Water Supply, Surface Water – Groundwater Interactions, Contaminant Transport, Hydrological Modeling, Soil Erosion, Fire severity modeling"
IA0038,research-a,"Pyrogenic Organic Matter, Soil Stability, Quality, Mineralogy, Pyrogenic Organic Matter Method Development"
IA0039,research-a,"Nutrient Cycling, Water Quality"
IA0040,research-a,"Water Quality, Watershed Management, Societal Costs, Policy, Water Supply, Hydrological Modeling, Disaster risk management and reduction"
IA0041,research-a,"Water Routing, Hillslope Hydrology, Sediment Transport, ash, soil hydrology, preferential flow, soil water repellency (hydrophobicity), soil heating, spatial variability, soiltemperature-fire intensity relationships, integrated fire management"
IA0042,research-a,"Nutrient Cycling, Pyrogenic Organic Matter, Soil Stability, Quality, Mineralogy, Microbial Community Dynamics, Pyrogenic Organic Matter Transport, Fluxes, Pyrogenic Organic Matter Method Development, Functional Diversity, Successional Dynamics, Ecological Resilience"
IA0043,research-a,"Biogeochemical Modeling, Water Quality, Surface Water – Groundwater Interactions, Hydrological Modeling"
IA0044,research-a,"Ecological Resilience, Watershed Management, post-fire soil erosion risk"
IA0045,research-a,"Biogeochemical Modeling, Successional Dynamics, Ecological Resilience, Ecological Modeling, Water Quality, Watershed Management, Water Routing, Hillslope Hydrology, Water Supply, Surface Water – Groundwater Interactions, Contaminant Transport, Hydrological Modeling"
IA0046,research-a,"Microbial Community Dynamics, Successional Dynamics, Ecological Resilience, Air Quality, Health"
IA0047,research-a,"Nutrient Cycling, Microbial Community Dynamics, Biogeochemical Modeling, Functional Diversity, Successional Dynamics, Ecological Resilience, Ecological Modeling"
IA0048,research-a,"Successional Dynamics, Ecological Resilience"
IA0049,research-a,"Microbial Community Dynamics, Ecology"
IA0050,research-a,"Nutrient Cycling, Pyrogenic Organic Matter, Microbial Community Dynamics, Pyrogenic Organic Matter Transport, Fluxes, Functional Diversity, Successional Dynamics, Ecological Resilience, Water Quality, Watershed Management"
IA0051,research-a,"Ecological Modeling, Water Quality, Societal Costs, Policy"
IA0052,research-a,"Nutrient Cycling, Microbial Community Dynamics, Biogeochemical Modeling, Ecological Resilience, Ecological Modeling, Indigenous Science, Environmental Justice"
IA0053,research-a,"Functional Diversity, Successional Dynamics, Ecological Resilience"
IA0054,research-a,"Fire Resistant Materials, Building Materials and Fire Safety, Resilient Design"
IA0055,research-a,"Nutrient Cycling, Pyrogenic Organic Matter, Microbial Community Dynamics, Pyrogenic Organic Matter Transport, Fluxes, Successional Dynamics, Ecological Resilience, Water Quality, Watershed Management, Forest and Fire Ecology"
IA0056,research-a,"Biogeochemical Modeling, Successional Dynamics, Ecological Resilience, Ecological Modeling"
IA0057,research-a,"Pyrogenic Organic Matter, Soil Stability, Quality, Mineralogy, Pyrogenic Organic Matter Transport, Fluxes, Pyrogenic Organic Matter Method Development, Biogeochemical Modeling"
IA0058,research-a,"Pyrogenic Organic Matter, Pyrogenic Organic Matter Transport, Fluxes, Biogeochemical Modeling"
IA0059,research-a,"Soil Stability, Quality, Mineralogy, Pyrogenic Organic Matter Transport, Fluxes, Water Quality, Watershed Management, Water Routing, Hillslope Hydrology, Sediment Transport, Water Supply, Contaminant Transport, Hydrological Modeling"
IA0060,research-a,"Nutrient Cycling, Pyrogenic Organic Matter, Microbial Community Dynamics, Successional Dynamics, Ecological Resilience"
IA0061,research-a,"Functional Diversity, Successional Dynamics, Ecological Resilience, Food Web / Trophic Dynamics, Ecological Modeling, Indigenous Science, Environmental Justice, Societal Costs, Policy, Wildlife community responses to fire"
IA0062,research-a,"Successional Dynamics, Ecological Resilience, Ecological Modeling"
IA0063,research-a,"Nutrient Cycling, Soil Stability, Quality, Mineralogy, Pyrogenic Organic Matter Transport, Fluxes, Water Quality, Watershed Management, Sediment Transport, Contaminant Transport"
IA0064,research-a,"Ecological Modeling, Water Quality, Watershed Management, Water Routing, Hillslope Hydrology, Sediment Transport, Water Supply, Surface Water – Groundwater Interactions, Contaminant Transport, Hydrological Modeling"
IA0065,research-a,"Pyrogenic Organic Matter, Soil Stability, Quality, Mineralogy, Pyrogenic Organic Matter Transport, Fluxes, Pyrogenic Organic Matter Method Development, Water Quality, Watershed Management, Water Routing, Hillslope Hydrology, Sediment Transport, Water Supply, Contaminant Transport, Hydrological Modeling"
IA0066,research-a,"Nutrient Cycling, Microbial Community Dynamics, Functional Diversity"
IA0067,research-a,"Microbial Community Dynamics, Successional Dynamics, Ecological Resilience"
